Rk,▴,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
19,Cliff Battles+,2,1946-1947,21,4,16,1,.200,-12,0,0,0,0,,2.5,2,0,0,0
20,Sammy Baugh+,3,1960-1964,42,18,24,0,.429,-6,0,0,0,0,,3.0,2,0,0,0
21,Bull Behman,3,1929-1931,40,13,20,7,.394,-7,0,0,0,0,,7.0,3,0,0,0
22,Bill Belichick,19,1991-2013,304,199,105,0,.655,94,12,28,19,9,.679,1.8,1,3,3,5
23,Bert Bell,6,1936-1941,58,10,46,2,.179,-36,0,0,0,0,,4.7,4,0,0,0
24,Phil Bengtson,4,1968-1972,47,21,25,1,.457,-4,0,0,0,0,,3.5,3,0,0,0
25,Leeman Bennett,8,1977-1986,119,50,69,0,.420,-19,3,4,1,3,.250,2.6,1,0,0,0
26,Dutch Bergman,1,1943,10,6,3,1,.667,3,1,2,1,1,.500,1.0,1,0,0,0
27,Raymond Berry+,6,1984-1989,87,48,39,0,.552,9,2,5,3,2,.600,2.5,1,0,0,1
28,Punk Berryman,2,1924-1926,25,14,10,1,.583,4,0,0,0,0,,8.5,3,0,0,0
29,Tom Bettis,1,1977,7,1,6,0,.143,-5,0,0,0,0,,5.0,5,0,0,0
30,Hugo Bezdek,2,1937-1938,14,1,13,0,.071,-12,0,0,0,0,,4.5,4,0,0,0
31,Scotty Bierce,1,1925,8,4,2,2,.667,2,0,0,0,0,,4.0,4,0,0,0
32,Ed Biles,3,1981-1983,31,8,23,0,.258,-15,0,0,0,0,,3.7,3,,,
33,Brian Billick,9,1999-2007,144,80,64,0,.556,16,4,8,5,3,.625,2.3,1,1,1,1
34,Lisle Blackbourn,4,1954-1957,48,17,31,0,.354,-14,0,0,0,0,,4.8,3,0,0,0
35,Johnny Blood+,3,1937-1939,25,6,19,0,.240,-13,0,0,0,0,,4.0,3,0,0,0
36,Pat Boland,1,1946,6,2,3,1,.400,-1,0,0,0,0,,4.0,4,0,0,0
37,Todd Bowles,1,2011,3,2,1,0,.667,1,0,0,0,0,,3.0,3,,,
38,Gus Bradley,1,2013,16,4,12,0,.250,-8,0,0,0,0,,3.0,3,,,
39,Joe Brandy,1,1924,6,0,6,0,.000,-6,0,0,0,0,,16.0,16,0,0,0
40,Wayne Brenkert,2,1923-1924,10,3,7,0,.300,-4,0,0,0,0,,14.5,13,0,0,0
41,Untz Brewer,1,1922,10,3,5,2,.375,-2,0,0,0,0,,10.0,10,0,0,0
42,Charlie Brickley,1,1921,2,0,2,0,.000,-2,0,0,0,0,,18.0,18,0,0,0
43,Frank Bridges,1,1944,5,0,5,0,.000,-5,0,0,0,0,,5.0,5,0,0,0
44,Marty Brill,1,1931,7,3,3,1,.500,0,0,0,0,0,,7.0,7,0,0,0
45,Rich Brooks,2,1995-1996,32,13,19,0,.406,-6,0,0,0,0,,3.0,3,0,0,0
46,Paul Brown,25,1946-1975,326,213,104,9,.672,109,15,17,9,8,.529,2.0,1,7,0,0
47,Fred Bruney,1,1985,1,1,0,0,1.000,1,0,0,0,0,,4.0,4,0,0,0
48,Johnny Bryan,2,1925-1926,15,2,13,0,.133,-11,0,0,0,0,,15.5,15,0,0,0
49,Joe Bugel,5,1990-1997,80,24,56,0,.300,-32,0,0,0,0,,4.6,4,0,0,0
