Rk,▴,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
336,Dan Reeves,23,1981-2003,357,190,165,2,.535,25,9,20,11,9,.550,2.7,1,0,0,4
337,Andy Reid,15,1999-2013,240,141,98,1,.590,43,10,20,10,10,.500,2.2,1,0,0,1
338,Ray Rhodes,5,1995-1999,80,37,42,1,.468,-5,2,3,1,2,.333,3.2,2,0,0,0
339,Homer Rice,2,1978-1979,27,8,19,0,.296,-11,0,0,0,0,,4.0,4,0,0,0
340,Ray Richards,3,1955-1957,36,14,21,1,.400,-7,0,0,0,0,,4.0,2,0,0,0
341,Mike Riley,3,1999-2001,48,14,34,0,.292,-20,0,0,0,0,,4.3,3,0,0,0
342,Jim Ringo+,2,1976-1977,23,3,20,0,.130,-17,0,0,0,0,,4.5,4,0,0,0
343,Ron Rivera,3,2011-2013,48,25,23,0,.521,2,1,1,0,1,.000,2.0,1,,,
344,Harry Robb,2,1925-1926,18,5,13,0,.278,-8,0,0,0,0,,15.5,11,0,0,0
345,J.D. Roberts,3,1970-1972,35,7,25,3,.219,-18,0,0,0,0,,4.0,4,0,0,0
346,Ed Robinson,1,1931,11,4,4,3,.500,0,0,0,0,0,,6.0,6,0,0,0
347,John Robinson,9,1983-1991,143,75,68,0,.524,7,6,10,4,6,.400,2.3,1,0,0,0
348,Terry Robiskie,2,2000-2004,8,2,6,0,.250,-4,0,0,0,0,,3.5,3,,,
349,Charley Rogers,1,1927,10,4,4,2,.500,0,0,0,0,0,,7.0,7,0,0,0
350,Darryl Rogers,4,1985-1988,58,18,40,0,.310,-22,0,0,0,0,,4.0,3,0,0,0
351,Gene Ronzani,4,1950-1953,46,14,31,1,.311,-17,0,0,0,0,,5.0,4,0,0,0
352,Tam Rose,1,1921,1,0,1,0,.000,-1,0,0,0,0,,18.0,18,0,0,0
353,Bobby Ross,9,1992-2000,137,74,63,0,.540,11,5,8,3,5,.375,2.8,1,0,0,1
354,Babe Ruetz,3,1922-1924,31,14,11,6,.560,3,0,0,0,0,,7.7,6,0,0,0
355,Clive Rush,2,1969-1970,21,5,16,0,.238,-11,0,0,0,0,,4.0,3,0,0,0
356,Rod Rust,1,1990,16,1,15,0,.063,-14,0,0,0,0,,5.0,5,0,0,0
357,Sam Rutigliano,7,1978-1984,97,47,50,0,.485,-3,2,2,0,2,.000,2.7,1,,,
358,Buddy Ryan,7,1986-1995,111,55,55,1,.500,0,3,3,0,3,.000,3.0,1,0,0,0
359,Rex Ryan,5,2009-2013,80,42,38,0,.525,4,2,6,4,2,.667,2.2,2,0,0,0
360,Lou Rymkus,2,1960-1961,19,11,7,1,.611,4,1,1,1,0,1.000,1.0,1,1,0,0
361,Lou Saban,16,1960-1976,201,95,99,7,.490,-4,4,4,2,2,.500,3.0,1,2,0,0
362,Nick Saban,2,2005-2006,32,15,17,0,.469,-2,0,0,0,0,,3.0,2,0,0,0
363,Lenny Sachs,1,1926,4,0,4,0,.000,-4,0,0,0,0,,21.0,21,0,0,0
364,Andy Salata,1,1930,3,0,3,0,.000,-3,0,0,0,0,,11.0,11,0,0,0
365,John Sandusky,1,1972,9,4,5,0,.444,-1,0,0,0,0,,3.0,3,0,0,0
366,Al Saunders,3,1986-1988,39,17,22,0,.436,-5,0,0,0,0,,4.0,3,0,0,0
367,Dewey Scanlon,4,1924-1929,36,17,15,4,.531,2,0,0,0,0,,8.0,4,0,0,0
368,Greg Schiano,2,2012-2013,32,11,21,0,.344,-10,0,0,0,0,,3.5,3,,,
369,Paul Schissler,4,1933-1936,46,14,29,3,.326,-15,0,0,0,0,,3.8,2,0,0,0
370,Joe Schmidt+,6,1967-1972,84,43,34,7,.558,9,1,1,0,1,.000,2.5,2,0,0,0
371,Howard Schnellenberger,2,1973-1974,17,4,13,0,.235,-9,0,0,0,0,,5.0,5,0,0,0
372,Marty Schottenheimer,21,1984-2006,327,200,126,1,.613,74,13,18,5,13,.278,2.0,1,0,0,0
373,Jim Schwartz,5,2009-2013,80,29,51,0,.363,-22,1,1,0,1,.000,3.2,2,0,0,0
374,Ralph Scott,1,1927,16,7,8,1,.467,-1,0,0,0,0,,6.0,6,0,0,0
375,Tom Scott,1,1946,7,1,6,0,.143,-5,0,0,0,0,,2.0,2,0,0,0
376,George Seifert,11,1989-2001,176,114,62,0,.648,52,7,15,10,5,.667,1.9,1,2,2,2
377,Mike Shanahan,20,1988-2013,308,170,138,0,.552,32,8,14,8,6,.571,2.6,1,2,2,2
378,Clark Shaughnessy,2,1948-1949,24,14,7,3,.667,7,1,1,0,1,.000,2.0,1,0,0,0
379,Buck Shaw,12,1946-1960,150,90,55,5,.621,35,2,3,2,1,.667,2.5,1,1,0,0
380,Art Shell+,7,1989-2006,108,56,52,0,.519,4,3,5,2,3,.400,2.9,1,0,0,0
381,Allie Sherman,8,1961-1968,112,57,51,4,.528,6,3,3,0,3,.000,3.0,1,,,
382,Mike Sherman,6,2000-2005,96,57,39,0,.594,18,4,6,2,4,.333,2.0,1,,,
383,Ted Shipkey,1,1947,3,2,1,0,.667,1,0,0,0,0,,3.0,3,0,0,0
384,Ken Shipp,1,1975,5,1,4,0,.200,-3,0,0,0,0,,4.0,4,0,0,0
385,Jim Shofner,1,1990,7,1,6,0,.143,-5,0,0,0,0,,4.0,4,,,
386,David Shula,5,1992-1996,71,19,52,0,.268,-33,0,0,0,0,,3.4,3,0,0,0
387,Don Shula+,33,1963-1995,490,328,156,6,.678,172,19,36,19,17,.528,1.8,1,2,2,6
388,Pat Shurmur,2,2011-2012,32,9,23,0,.281,-14,0,0,0,0,,4.0,4,,,
389,Herb Sies,1,1923,8,2,3,3,.400,-1,0,0,0,0,,12.0,12,0,0,0
390,Mike Singletary+,3,2008-2010,40,18,22,0,.450,-4,0,0,0,0,,2.3,2,0,0,0
391,Nick Skorich,7,1961-1974,98,45,48,5,.484,-3,2,2,0,2,.000,3.7,1,0,0,0
392,Clipper Smith,2,1947-1948,24,7,16,1,.304,-9,0,0,0,0,,4.0,3,0,0,0
393,Jerry Smith,1,1971,5,2,3,0,.400,-1,0,0,0,0,,4.0,4,0,0,0
394,Lovie Smith,9,2004-2012,144,81,63,0,.563,18,3,6,3,3,.500,2.4,1,0,0,1
395,Mike Smith,6,2008-2013,96,60,36,0,.625,24,4,5,1,4,.200,1.8,1,0,0,0
396,Bob Snyder,1,1947,12,6,6,0,.500,0,0,0,0,0,,4.0,4,0,0,0
397,Steve Spagnuolo,3,2009-2011,48,10,38,0,.208,-28,0,0,0,0,,3.3,2,0,0,0
398,Tony Sparano,4,2008-2011,61,29,32,0,.475,-3,1,1,0,1,.000,2.5,1,0,0,0
399,Mac Speedie,3,1964-1966,26,6,19,1,.240,-13,0,0,0,0,,4.0,4,0,0,0
400,Steve Spurrier,2,2002-2003,32,12,20,0,.375,-8,0,0,0,0,,3.0,3,0,0,0
401,Gene Stallings,4,1986-1989,58,23,34,1,.404,-11,0,0,0,0,,4.0,3,0,0,0
402,Dick Stanfel,1,1980,4,1,3,0,.250,-2,0,0,0,0,,4.0,4,0,0,0
403,Bart Starr+,9,1975-1983,131,52,76,3,.406,-24,1,2,1,1,.500,3.2,1,0,0,0
404,Les Steckel,1,1984,16,3,13,0,.188,-10,0,0,0,0,,5.0,5,,,
405,Kay Stephenson,3,1983-1985,36,10,26,0,.278,-16,0,0,0,0,,4.3,3,0,0,0
406,Joey Sternaman,1,1923,7,4,3,0,.571,1,0,0,0,0,,7.0,7,0,0,0
407,Mal Stevens,1,1946,7,2,4,1,.333,-2,0,0,0,0,,2.0,2,0,0,0
408,Pete Stinchcomb,1,1923,7,3,4,0,.429,-1,0,0,0,0,,8.0,8,0,0,0
409,Carl Storck,5,1922-1926,38,8,26,4,.235,-18,0,0,0,0,,13.6,7,0,0,0
410,Red Strader,4,1948-1955,46,24,22,0,.522,2,1,1,0,1,.000,3.3,2,0,0,0
411,Hank Stram,17,1960-1977,238,131,97,10,.575,34,5,8,5,3,.625,2.2,1,2,1,2
412,Eric Studesville,1,2010,4,1,3,0,.250,-2,0,0,0,0,,4.0,4,,,
413,Chuck Studley,1,1983,10,2,8,0,.200,-6,0,0,0,0,,4.0,4,,,
414,Joe Stydahar+,5,1950-1954,49,20,28,1,.417,-8,2,3,2,1,.667,3.0,1,1,0,0
415,Jock Sutherland,4,1940-1947,45,28,16,1,.636,12,1,1,0,1,.000,2.0,1,0,0,0
416,Harland Svare,7,1962-1973,74,21,48,5,.304,-27,0,0,0,0,,5.1,3,0,0,0
417,Barry Switzer,4,1994-1997,64,40,24,0,.625,16,3,7,5,2,.714,1.8,1,1,1,1
418,Nelson Talbot,2,1920-1921,18,9,6,3,.600,3,0,0,0,0,,7.0,6,0,0,0
419,Hugh Taylor,1,1965,14,4,10,0,.286,-6,0,0,0,0,,4.0,4,0,0,0
420,Gus Tebell,1,1923,3,2,0,1,1.000,2,0,0,0,0,,8.0,8,0,0,0
421,Emmitt Thomas+,1,2007,3,1,2,0,.333,-1,0,0,0,0,,4.0,4,,,
422,Joe Thomas,1,1974,11,2,9,0,.182,-7,0,0,0,0,,5.0,5,0,0,0
423,Jim Thorpe+,4,1920-1923,41,14,25,2,.359,-11,0,0,0,0,,12.0,8,0,0,0
424,Mike Tice,5,2001-2005,65,32,33,0,.492,-1,1,2,1,1,.500,2.4,2,,,
425,Elgie Tobin,2,1920-1921,23,16,3,4,.842,13,0,0,0,0,,2.0,1,1,0,0
426,Vince Tobin,5,1996-2000,71,28,43,0,.394,-15,1,2,1,1,.500,4.0,2,0,0,0
427,Dick Todd,1,1951,9,5,4,0,.556,1,0,0,0,0,,3.0,3,0,0,0
428,Russell Tollefson,1,1922,4,1,3,0,.250,-2,0,0,0,0,,13.0,13,0,0,0
429,Mike Tomlin,7,2007-2013,112,71,41,0,.634,30,4,8,5,3,.625,1.9,1,1,1,2
430,Jim Tomsula,1,2010,1,1,0,0,1.000,1,0,0,0,0,,3.0,3,,,
